year,G_XWDG_G01_GDP_PT,country,obs_code
2003,48.1502302857231,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2004,34.345505045586,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2005,38.3215365084619,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2006,36.0218361144212,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2007,32.9067497019191,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2008,33.606810743149,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2009,36.7341677897533,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2010,37.310872060831,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2011,39.0526352423308,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2012,42.3204547468026,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2013,46.7146120471193,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2014,44.9110068347895,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2015,44.9414524206381,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2016,46.5914154309966,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2017,48.9062677080381,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2018,50.4653170223375,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
