date,value,country
2020,73.0853919533076,HU
2021,71.1580574520936,HU
2022,68.9840262986763,HU
2023,66.511117940002,HU
2024,65.3224368404017,HU
2025,62.7409544892085,HU
2026,59.6491032453082,HU
2027,54.9201382416094,HU
1991,19.3307889191682,IS
1992,26.0492736118402,IS
1993,34.0200429942815,IS
1994,37.0115806383573,IS
1995,38.9067826116847,IS
1996,38.7826308354894,IS
1997,36.6169760452824,IS
1998,46.8660456375216,IS
1999,71.0457905648442,IS
2000,70.9597906311085,IS
2001,79.4661943443474,IS
2002,78.7073547661976,IS
2003,81.2557528917013,IS
2004,72.2922319282044,IS
2005,53.9078994598781,IS
2006,53.8685959879776,IS
2007,51.848585964042,IS
2008,89.0763544861209,IS
2009,111.314069003087,IS
2010,110.161532022937,IS
2011,104.550005127453,IS
2012,104.814756002322,IS
2013,99.1796547057934,IS
2014,88.1184455223451,IS
2015,78.0091983548896,IS
2016,67.6065342492365,IS
2017,60.1895790207191,IS
2018,50.6528772760879,IS
2019,54.0967164948166,IS
2020,60.7570311555606,IS
2021,59.8776802110485,IS
2022,55.6398411443413,IS
2023,52.0801962832303,IS
2024,50.2056487610192,IS
2025,48.0280552746425,IS
2026,45.4838226054538,IS
2027,42.6938141563251,IS
2009,21.2638605643468,ID
2010,19.6865375870667,ID
2011,17.7581588369893,ID
2012,18.570934738999,ID
2013,20.6381297077958,ID
2014,20.3774206017367,ID
2015,22.0434637657853,ID
2016,23.4512809921275,ID
2017,25.2851373991104,ID
2018,26.6582827169575,ID
2019,27.0353282798044,ID
2020,36.1425476334069,ID
2021,39.5367165870589,ID
2022,39.6935156488447,ID
2023,39.9260247450953,ID
2024,40.0166787215266,ID
2025,39.9304257147102,ID
2026,39.6856272388655,ID
2027,39.325271775776,ID
1997,34.4556818525666,IR
1998,31.6845149507985,IR
1999,22.9986260025377,IR
2000,16.5665137156673,IR
2001,12.7604193892541,IR
2002,16.4462609148415,IR
2003,15.2123330022888,IR
2004,14.460050000797,IR
2005,8.5660996180754,IR
2006,5.47780902818529,IR
2007,2.16953833218896,IR
2008,1.17321371403976,IR
2009,6.10578074906751,IR
2010,5.57382593823439,IR
2011,1.69520888887657,IR
2012,3.60450794959022,IR
2013,-3.38338274156841,IR
2014,-3.44200092145404,IR
2015,21.6427527122562,IR
2016,36.7946174663695,IR
2017,32.9495799656155,IR
2018,29.2979097271013,IR
2019,32.7345744934153,IR
2020,37.4160512188592,IR
2021,41.4552537977201,IR
2022,33.9549400380508,IR
2023,33.5956357208266,IR
2024,34.3185091723443,IR
2025,35.1616444885029,IR
2026,35.9984811062368,IR
2027,36.8800661561777,IR
1999,34.4601308316539,IE
2000,24.7861672319717,IE
2001,21.0454668315737,IE
2002,22.8263650936043,IE
2003,22.1905246021006,IE
2004,19.9360676825015,IE
2005,17.7382476248635,IE
2006,14.5865149581432,IE
2007,14.5791343177551,IE
2008,23.0036896034344,IE
2009,37.1689309162985,IE
2010,66.5903455363491,IE
2011,79.0317733057635,IE
2012,86.7767059989858,IE
2013,90.0533412109625,IE
2014,85.8645490268501,IE
2015,65.7454119276563,IE
2016,65.4070236763954,IE
2017,58.9475119979793,IE
2018,54.3368952466247,IE
2019,48.9766215552906,IE
2020,52.3645569891839,IE
2021,49.8574851634796,IE
2022,48.3477983880404,IE
2023,45.7834361792937,IE
2024,43.6835384498781,IE
2025,41.7169340110432,IE
2026,39.8452131169298,IE
2027,37.6971201262711,IE
2001,72.3,IL
2002,79.4,IL
2003,82.1,IL
2004,82.1,IL
2005,79,IL
2006,71.1,IL
2007,65.1,IL
2008,64.3,IL
2009,66.8,IL
2010,64.7,IL
2011,63.9,IL
2012,63.8,IL
2013,62.9,IL
2014,62.5,IL
2015,60.6,IL
2016,59,IL
2017,57.5,IL
2018,58.1,IL
2019,57.9,IL
2020,68.4,IL
2021,65.9828111350027,IL
2022,64.3706215688537,IL
2023,63.801366637837,IL
2024,63.2675826954505,IL
2025,62.7979627149037,IL
2026,62.3924558508834,IL
2027,62.0183178710523,IL
1991,99.1735477861289,IT
1992,106.271193017866,IT
1993,116.722707602599,IT
1994,122.736969448376,IT
1995,105.156930026319,IT
1996,109.543902121866,IT
1997,107.47831754791,IT
1998,105.548545603179,IT
1999,103.62890152653,IT
2000,99.6673413810407,IT
2001,99.8963299896177,IT
2002,97.8213068751995,IT
2003,97.7764282175361,IT
2004,97.1466323858601,IT
2005,97.5169318361368,IT
2006,97.8942955019267,IT
2007,95.6587030294023,IT
2008,97.2113923254518,IT
2009,106.388690231643,IT
2010,108.212171821267,IT
2011,109.45779727261,IT
2012,114.053420456931,IT
2013,119.175941714463,IT
2014,121.417655715695,IT
2015,122.236197069511,IT
2016,121.602902724754,IT
2017,121.290135339714,IT
2018,121.823289255004,IT
2019,121.697574464248,IT
2020,141.822821204387,IT
2021,138.268822245618,IT
2022,138.465590949046,IT
2023,137.101732499903,IT
2024,135.954537138508,IT
2025,134.820340394136,IT
2026,133.661913656273,IT
2027,132.552856561391,IT
1991,17.2517821799662,JP
1992,19.3564678087407,JP
1993,23.6271634981169,JP
1994,29.5810799463943,JP
1995,34.2946322153732,JP
1996,39.1216143042262,JP
1997,44.9230082570855,JP
1998,54.2112327499132,JP
1999,63.4032660076376,JP
2000,67.7691641497844,JP
2001,74.5714458221787,JP
2002,83.5051070710784,JP
2003,89.5337621376548,JP
2004,94.2045988596919,JP
2005,93.8683099365183,JP
2006,93.1413968864485,JP
2007,94.3746829114882,JP
2008,105.611550672781,JP
2009,120.304223717537,JP
2010,128.767358494224,JP
2011,139.808269753939,JP
2012,144.007850145502,JP
2013,142.929927741387,JP
2014,145.147222177783,JP
2015,144.590780144612,JP
2016,149.561874523068,JP
2017,148.108567946727,JP
2018,151.128657398062,JP
2019,151.371552497157,JP
2020,162.373935112423,JP
2021,168.867570786357,JP
2022,172.134833444318,JP
2023,170.994687959854,JP
2024,171.42024610133,JP
2025,172.09198348548,JP
2026,173.21631689904,JP
2027,174.495884238764,JP
1991,194.493905037754,JO
1992,145.358010298307,JO
1993,131.427120045982,JO
1994,118.328400174238,JO
1995,109.048982600422,JO
1996,104.413417752928,JO
1997,96.417567505299,JO
1998,105.734601464273,JO
1999,102.65181063479,JO
2000,87.3968325588028,JO
2001,90.8044793043941,JO
2002,91.1668760995649,JO
2003,87.8111073986949,JO
2004,78.566001177361,JO
2005,73.4769634771249,JO
2006,60.2005461199787,JO
2007,59.4008585106471,JO
2008,52.6914430991338,JO
2009,55.7652554230843,JO
2010,57.4646838624196,JO
2011,60.2653163612131,JO
2012,69.0516898537662,JO
2013,72.2283348405615,JO
2014,72.3440232132347,JO
2015,75.8086289092412,JO
2016,74.351960180619,JO
2017,73.6102462972789,JO
2018,73.9478956364145,JO
2019,77.2866625145089,JO
2020,87.880603097934,JO
2021,91.7093372260341,JO
2022,91.4537469351782,JO
2023,88.5544991889777,JO
2024,84.145284110205,JO
2025,79.6291776939609,JO
2026,75.4226655066924,JO
2027,72.5603633423792,JO
2003,3.57993798498693,KZ
2004,0.028454991627102,KZ
2005,-6.12942385815828,KZ
2006,-10.8550240814546,KZ
2007,-15.573870754308,KZ
2008,-13.9125129790902,KZ
2009,-11.0295038972977,KZ
2010,-10.2493916075694,KZ
2011,-12.7056614219855,KZ
2012,-15.940628359583,KZ
2013,-17.6040074385189,KZ
2014,-19.1403787166976,KZ
2015,-30.753844210952,KZ
2016,-23.7593832613385,KZ
2017,-15.7807057503469,KZ
2018,-15.7802118598984,KZ
2019,-13.9089075735893,KZ
2020,-8.62390835404815,KZ
2021,-3.45594593949379,KZ
2022,-4.85405341599119,KZ
2023,-3.75081589805728,KZ
2024,-3.76277213058487,KZ
2025,-3.7497781053117,KZ
2026,-3.50941117329816,KZ
2027,-2.94707662740831,KZ
1999,25.5458867230796,KE
2000,28.3693394411198,KE
2001,27.2217900315233,KE
2002,26.8214913364959,KE
2003,29.7470923153709,KE
2004,28.9705807534793,KE
2005,25.7551300478153,KE
2006,24.6804960503815,KE
2007,21.8139862297063,KE
